id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
62,2.6766,1.0321,1.7407,1.1167,2.2154,1.3344,1.2885,2.1704,1.2199,1.7946,2.0083,0.9353,1.2667,1.4392,0.9242,0.626,2.1666,1.9616,1.5932,2.2007,1.6089,2.3588,1.8791,1.1027,1.103
63,2.6691,1.0254,1.7236,1.1152,2.2202,1.3309,1.2871,2.1713,1.214,1.7982,2.0072,0.9202,1.2518,1.4243,0.9209,0.6241,2.1652,1.9513,1.5789,2.1958,1.6006,2.3635,1.8651,1.0771,1.0906
64,2.662,1.0196,1.7069,1.1146,2.2255,1.3282,1.2865,2.1727,1.2089,1.8024,2.0066,0.9059,1.2375,1.41,0.9185,0.6238,2.1642,1.9415,1.5651,2.1914,1.5929,2.3686,1.8516,1.0519,1.0789
65,2.6552,1.0148,1.6906,1.115,2.2313,1.3262,1.2866,2.1745,1.2046,1.8071,2.0065,0.8926,1.2238,1.3963,0.9173,0.6251,2.1637,1.9321,1.5518,2.1874,1.5858,2.3741,1.8385,1.027,1.068
66,2.6488,1.011,1.6747,1.1162,2.2374,1.3249,1.2875,2.1768,1.2011,1.8124,2.0068,0.8801,1.2108,1.3832,0.9171,0.6279,2.1637,1.9232,1.539,2.1838,1.5792,2.3801,1.8258,1.0025,1.0579
67,2.6428,1.008,1.6593,1.1182,2.244,1.3244,1.2892,2.1796,1.1984,1.8182,2.0077,0.8686,1.1985,1.3706,0.918,0.6323,2.164,1.9148,1.5268,2.1807,1.5733,2.3864,1.8137,0.9784,1.0487
68,2.6371,1.0061,1.6444,1.1212,2.251,1.3246,1.2917,2.1828,1.1966,1.8245,2.009,0.8581,1.1869,1.3586,0.92,0.6382,2.1649,1.9068,1.5151,2.178,1.568,2.3931,1.8019,0.9547,1.0404
69,2.6287,1.0019,1.6276,1.1251,2.2553,1.3222,1.295,2.1831,1.1934,1.828,2.0075,0.8458,1.176,1.3442,0.9196,0.6427,2.163,1.8971,1.502,2.1724,1.5601,2.3969,1.7883,0.9298,1.0297
70,2.6237,1.0019,1.6135,1.1297,2.2632,1.3239,1.2989,2.1872,1.1932,1.8353,2.0099,0.8374,1.1658,1.3335,0.9237,0.6515,2.1647,1.8901,1.4914,2.1706,1.556,2.4044,1.7775,0.907,1.0231
71,2.6191,1.0029,1.6,1.1353,2.2714,1.3264,1.3036,2.1917,1.1938,1.8432,2.0127,0.8301,1.1564,1.3235,0.9289,0.6617,2.1669,1.8836,1.4815,2.1692,1.5525,2.4123,1.7672,0.8847,1.0175
72,2.6149,1.0049,1.5869,1.1416,2.2801,1.3296,1.3091,2.1967,1.1953,1.8515,2.016,0.8239,1.1478,1.3141,0.935,0.6733,2.1696,1.8777,1.4721,2.1684,1.5496,2.4206,1.7575,0.863,1.0128
73,2.611,1.0079,1.5744,1.1488,2.2891,1.3335,1.3152,2.2021,1.1975,1.8604,2.0198,0.8188,1.14,1.3054,0.9422,0.686,2.1727,1.8722,1.4634,2.168,1.5474,2.4292,1.7482,0.8419,1.009
74,2.6075,1.0118,1.5624,1.1568,2.2985,1.3381,1.3221,2.2079,1.2006,1.8697,2.024,0.815,1.133,1.2974,0.9504,0.7,2.1763,1.8672,1.4553,2.168,1.5458,2.4382,1.7394,0.8215,1.0062
75,2.6044,1.0167,1.551,1.1656,2.3084,1.3435,1.3297,2.2142,1.2045,1.8795,2.0288,0.8123,1.1268,1.2902,0.9595,0.715,2.1803,1.8628,1.4478,2.1685,1.5448,2.4476,1.7312,0.8018,1.0044
76,2.6016,1.0225,1.5401,1.1752,2.3186,1.3495,1.3379,2.2209,1.2092,1.8898,2.034,0.8108,1.1215,1.2836,0.9695,0.7311,2.1847,1.8589,1.441,2.1694,1.5445,2.4573,1.7235,0.7829,1.0036
77,2.5993,1.0293,1.5298,1.1855,2.3291,1.3563,1.3469,2.228,1.2146,1.9005,2.0397,0.8106,1.117,1.2778,0.9805,0.7482,2.1896,1.8555,1.4348,2.1708,1.5448,2.4674,1.7163,0.7647,1.0037
78,2.5973,1.0369,1.5201,1.1966,2.3401,1.3637,1.3565,2.2356,1.2209,1.9117,2.0458,0.8116,1.1134,1.2728,0.9923,0.7662,2.195,1.8526,1.4293,2.1727,1.5458,2.4779,1.7097,0.7475,1.0048
79,2.5957,1.0455,1.5109,1.2083,2.3514,1.3719,1.3668,2.2435,1.2279,1.9233,2.0525,0.8138,1.1107,1.2685,1.005,0.785,2.2007,1.8503,1.4244,2.175,1.5474,2.4887,1.7036,0.7312,1.007
80,2.4124,0.9626,1.3259,1.1083,2.1894,1.2166,1.2662,2.0911,1.0497,1.792,1.8978,0.6299,0.9952,1.1026,0.8713,0.6584,2.0338,1.6602,1.2371,2.0508,1.3711,2.3382,1.5145,0.5683,0.917
